age,job,marital,education,balance,contact,day,month,campaign,pdays,previous,poutcome,default_num,deposit_num,loan_num,housing_num,duration_min
59,admin.,married,secondary,2343,unknown,5,may,1,-1,0,unknown,0,1,0,1,17.366666666666667
56,admin.,married,secondary,45,unknown,5,may,1,-1,0,unknown,0,1,0,0,24.45
41,technician,married,secondary,1270,unknown,5,may,1,-1,0,unknown,0,1,0,1,23.15
55,services,married,secondary,2476,unknown,5,may,1,-1,0,unknown,0,1,0,1,9.65
54,admin.,married,tertiary,184,unknown,5,may,2,-1,0,unknown,0,1,0,0,11.216666666666667
42,management,single,tertiary,0,unknown,5,may,2,-1,0,unknown,0,1,1,1,9.366666666666667
56,management,married,tertiary,830,unknown,6,may,1,-1,0,unknown,0,1,1,1,20.016666666666666
60,retired,divorced,secondary,545,unknown,6,may,1,-1,0,unknown,0,1,0,1,17.166666666666668
37,technician,married,secondary,1,unknown,6,may,1,-1,0,unknown,0,1,0,1,10.133333333333333
28,services,single,secondary,5090,unknown,6,may,3,-1,0,unknown,0,1,0,1,21.616666666666667
38,admin.,single,secondary,100,unknown,7,may,1,-1,0,unknown,0,1,0,1,13.1
30,blue-collar,married,secondary,309,unknown,7,may,2,-1,0,unknown,0,1,0,1,26.233333333333334
29,management,married,tertiary,199,unknown,7,may,4,-1,0,unknown,0,1,1,1,28.15
46,blue-collar,single,tertiary,460,unknown,7,may,2,-1,0,unknown,0,1,0,1,18.366666666666667
31,technician,single,tertiary,703,unknown,8,may,2,-1,0,unknown,0,1,0,1,15.716666666666667
35,management,divorced,tertiary,3837,unknown,8,may,1,-1,0,unknown,0,1,0,1,18.066666666666666
32,blue-collar,single,primary,611,unknown,8,may,3,-1,0,unknown,0,1,0,1,9.016666666666667
49,services,married,secondary,-8,unknown,8,may,1,-1,0,unknown,0,1,0,1,18.65
41,admin.,married,secondary,55,unknown,8,may,2,-1,0,unknown,0,1,0,1,18.666666666666668
49,admin.,divorced,secondary,168,unknown,8,may,1,-1,0,unknown,0,1,1,1,8.55
28,admin.,divorced,secondary,785,unknown,8,may,2,-1,0,unknown,0,1,0,1,7.366666666666666
43,management,single,tertiary,2067,unknown,8,may,1,-1,0,unknown,0,1,0,1,12.6
43,management,divorced,tertiary,388,unknown,8,may,2,-1,0,unknown,0,1,0,1,34.78333333333333
43,blue-collar,married,primary,-192,unknown,8,may,2,-1,0,unknown,0,1,0,1,18.666666666666668
37,unemployed,single,secondary,381,unknown,8,may,2,-1,0,unknown,0,1,0,1,16.416666666666668
35,blue-collar,single,secondary,40,unknown,9,may,4,-1,0,unknown,0,1,0,1,10.283333333333333
31,technician,single,tertiary,22,unknown,9,may,3,-1,0,unknown,0,1,0,1,8.05
43,blue-collar,single,secondary,3,unknown,9,may,3,-1,0,unknown,0,1,0,1,15.483333333333333
31,admin.,married,secondary,307,unknown,9,may,1,-1,0,unknown,0,1,0,1,8.966666666666667
28,blue-collar,single,secondary,759,unknown,9,may,1,-1,0,unknown,0,1,0,1,11.833333333333334
32,blue-collar,married,secondary,-1,unknown,9,may,1,-1,0,unknown,1,1,0,1,10.883333333333333
60,technician,married,primary,65,unknown,9,may,2,-1,0,unknown,0,1,0,1,17.133333333333333
26,blue-collar,single,secondary,82,unknown,9,may,1,-1,0,unknown,0,1,0,1,10.9
40,blue-collar,married,secondary,10,unknown,9,may,2,-1,0,unknown,0,1,0,1,28.2
33,blue-collar,divorced,primary,390,unknown,9,may,2,-1,0,unknown,0,1,0,1,11.083333333333334
32,management,single,tertiary,311,unknown,12,may,2,-1,0,unknown,0,1,0,0,12.616666666666667
35,blue-collar,married,primary,414,unknown,13,may,4,-1,0,unknown,0,1,0,0,8.4
33,management,divorced,secondary,5,unknown,13,may,1,-1,0,unknown,0,1,0,1,22.433333333333334
38,management,married,tertiary,119,unknown,13,may,4,-1,0,unknown,0,1,0,1,9.466666666666667
23,entrepreneur,single,primary,4,unknown,13,may,2,-1,0,unknown,0,1,0,1,6.583333333333333
60,blue-collar,married,primary,1262,unknown,13,may,1,-1,0,unknown,0,1,1,1,16.916666666666668
48,management,married,tertiary,1949,unknown,13,may,2,-1,0,unknown,0,1,0,1,11.383333333333333
45,entrepreneur,divorced,tertiary,-395,unknown,13,may,1,-1,0,unknown,0,1,0,1,7.833333333333333
36,blue-collar,married,secondary,1165,unknown,13,may,4,-1,0,unknown,0,1,0,1,16.683333333333334
52,management,married,unknown,2240,unknown,13,may,1,-1,0,unknown,0,1,0,1,14.083333333333334
35,blue-collar,divorced,primary,300,unknown,13,may,2,-1,0,unknown,0,1,0,1,15.75
43,technician,married,secondary,3285,unknown,13,may,2,-1,0,unknown,0,1,0,1,28.683333333333334
52,housemaid,married,secondary,3923,unknown,14,may,3,-1,0,unknown,0,1,0,1,15.7
53,technician,divorced,primary,1443,unknown,14,may,1,-1,0,unknown,0,1,0,1,7.933333333333334
48,blue-collar,divorced,primary,24,unknown,14,may,1,-1,0,unknown,0,1,0,1,13.866666666666667
41,blue-collar,single,primary,1618,unknown,14,may,1,-1,0,unknown,0,1,0,1,25.883333333333333
39,management,divorced,tertiary,517,unknown,14,may,1,-1,0,unknown,0,1,1,1,22.133333333333333
59,retired,married,secondary,1521,unknown,14,may,2,-1,0,unknown,0,1,1,1,18.75
41,blue-collar,married,secondary,2823,unknown,14,may,1,-1,0,unknown,0,1,0,1,14.3
48,blue-collar,married,secondary,1405,unknown,14,may,2,-1,0,unknown,0,1,0,1,10.483333333333333
40,admin.,married,secondary,1535,unknown,14,may,1,-1,0,unknown,0,1,0,1,11.733333333333333
48,blue-collar,married,secondary,1596,unknown,14,may,1,-1,0,unknown,0,1,0,1,12.666666666666666
60,retired,married,primary,1542,unknown,14,may,1,-1,0,unknown,0,1,0,1,15.5
40,technician,single,unknown,3652,unknown,14,may,2,-1,0,unknown,0,1,0,1,17.133333333333333
57,technician,married,tertiary,-1,unknown,14,may,2,-1,0,unknown,0,1,0,0,14.166666666666666
51,blue-collar,married,secondary,7180,unknown,14,may,1,-1,0,unknown,0,1,0,1,15.45
41,blue-collar,divorced,secondary,5291,unknown,14,may,3,-1,0,unknown,0,1,0,1,23.716666666666665
41,blue-collar,married,secondary,1384,unknown,15,may,4,-1,0,unknown,0,1,0,1,19.366666666666667
52,blue-collar,divorced,primary,-191,unknown,15,may,1,-1,0,unknown,0,1,0,1,12.583333333333334
59,blue-collar,married,primary,320,unknown,15,may,1,-1,0,unknown,0,1,0,1,11.583333333333334
44,blue-collar,married,unknown,146,unknown,15,may,1,-1,0,unknown,0,1,0,1,8.05
49,unknown,married,primary,341,unknown,15,may,2,-1,0,unknown,0,1,1,1,8.666666666666666
40,services,married,primary,-9,unknown,15,may,2,-1,0,unknown,0,1,0,1,15.333333333333334
41,admin.,married,primary,-306,unknown,15,may,1,-1,0,unknown,0,1,0,1,8.333333333333334
